CycleDay,avg_steps,sd_steps,n
1,7798,4339,32
2,7508,4999.7,31
3,6232,4592.3,32
4,7534,5044.2,33
5,7004,5386.1,35
6,6965,3923.7,36
7,7368,5187.1,36
8,6740,3889.8,37
9,7541,5490.9,35
10,7161,4530.4,33
11,7030,5325.8,34
12,6915,4887.2,33
13,8433,6136.1,32
14,8174,5004.5,34
15,7493,5201.7,33
16,7764,5550.7,34
17,7871,5414.9,32
18,8588,4787,31
19,7699,4879,33
20,8163,4913.9,31
21,8085,5504.1,33
22,7733,5345.3,30
23,8700,7356.3,29
24,7972,5621.8,30
25,8535,5362.1,29
26,7043,4244.2,23
27,8423,6045.3,23
28,8291,5443.8,19
