user_id,date,day_of_week,age,gender,weight_kg,height_cm,fitness_level,primary_sport,recovery_score,day_strain,sleep_hours,sleep_efficiency,sleep_performance,light_sleep_hours,rem_sleep_hours,deep_sleep_hours,wake_ups,time_to_fall_asleep_min,hrv,resting_heart_rate,hrv_baseline,rhr_baseline,respiratory_rate,skin_temp_deviation,calories_burned,workout_completed,activity_type,activity_duration_min,activity_strain,avg_heart_rate,max_heart_rate,activity_calories,hr_zone_1_min,hr_zone_2_min,hr_zone_3_min,hr_zone_4_min,hr_zone_5_min,workout_time_of_day
USER_00001,2023-01-01,Sunday,56,Female,53.9,167.2,Beginner,Weight Training,57.8,7.33,6.13,72.3,100.0,3.68,1.23,1.22,1,17.0,118.3,61.5,101,59,11.1,0.3,2849.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-01-02,Monday,56,Female,53.9,167.2,Beginner,Weight Training,62.6,10.38,6.33,78.3,100.0,3.97,1.41,0.95,1,5.8,105.7,57.5,101,59,15.9,-0.37,3201.0,1,Weight Training,62,7.47,121.2,137.6,371.0,11.9,18.0,15.9,11.6,4.6,Evening
USER_00001,2023-01-03,Tuesday,56,Female,53.9,167.2,Beginner,Weight Training,81.5,7.16,6.17,78.8,100.0,3.7,1.52,0.95,0,5.0,95.3,56.7,101,59,14.9,-0.67,2697.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-01-04,Wednesday,56,Female,53.9,167.2,Beginner,Weight Training,55.0,16.47,6.49,80.3,100.0,3.94,1.55,1.0,0,5.0,76.2,60.8,101,59,16.7,0.49,4175.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-01-05,Thursday,56,Female,53.9,167.2,Beginner,Weight Training,62.5,16.67,6.67,73.0,100.0,4.14,1.49,1.04,0,5.0,94.4,65.6,101,59,16.7,1.69,4116.0,1,Weight Training,51,15.27,136.4,152.8,623.0,3.7,6.0,13.7,18.6,9.0,Evening
USER_00001,2023-01-06,Friday,56,Female,53.9,167.2,Beginner,Weight Training,49.9,7.56,7.3,78.2,100.0,4.19,1.78,1.32,0,5.0,97.7,53.3,101,59,15.5,0.48,2892.0,1,Running,77,8.46,123.1,139.5,524.0,13.4,24.3,24.0,13.6,2.2,Morning
USER_00001,2023-01-07,Saturday,56,Female,53.9,167.2,Beginner,Weight Training,50.0,6.96,5.61,64.3,100.0,3.38,1.28,0.96,1,20.1,101.8,59.9,101,59,13.9,-0.38,2935.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-01-08,Sunday,56,Female,53.9,167.2,Beginner,Weight Training,64.2,9.98,5.81,84.3,100.0,3.49,1.32,1.0,0,9.6,121.9,61.3,101,59,15.6,-0.34,3443.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-01-09,Monday,56,Female,53.9,167.2,Beginner,Weight Training,56.2,13.16,6.41,75.4,100.0,3.96,1.33,1.12,0,5.0,95.8,56.7,101,59,14.6,0.44,3895.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-01-10,Tuesday,56,Female,53.9,167.2,Beginner,Weight Training,72.1,16.45,4.02,74.8,100.0,2.43,0.95,0.65,0,21.1,108.4,61.2,101,59,14.7,-0.26,4270.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-01-11,Wednesday,56,Female,53.9,167.2,Beginner,Weight Training,71.4,15.92,6.8,71.5,100.0,4.26,1.42,1.11,0,12.0,95.3,59.0,101,59,18.1,0.43,4545.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-01-12,Thursday,56,Female,53.9,167.2,Beginner,Weight Training,50.8,8.14,5.12,50.0,100.0,3.03,1.28,0.81,0,5.9,99.9,56.8,101,59,15.1,-0.56,3195.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-01-13,Friday,56,Female,53.9,167.2,Beginner,Weight Training,80.3,13.64,4.95,77.2,100.0,2.83,1.13,0.98,1,5.0,97.5,52.0,101,59,14.3,0.68,4081.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-01-14,Saturday,56,Female,53.9,167.2,Beginner,Weight Training,65.7,6.02,6.15,76.1,100.0,3.48,1.46,1.22,0,5.0,114.7,49.6,101,59,16.7,0.03,2660.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-01-15,Sunday,56,Female,53.9,167.2,Beginner,Weight Training,58.7,3.79,4.93,53.8,100.0,2.77,1.19,0.97,0,8.6,124.9,52.5,101,59,13.9,0.44,2278.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-01-16,Monday,56,Female,53.9,167.2,Beginner,Weight Training,55.8,4.26,4.65,76.6,100.0,3.0,0.95,0.7,0,5.0,97.4,57.0,101,59,15.7,-0.34,2452.0,1,Weight Training,74,9.18,124.5,140.9,544.0,14.3,24.7,20.2,8.3,6.6,Morning
USER_00001,2023-01-17,Tuesday,56,Female,53.9,167.2,Beginner,Weight Training,67.0,15.26,5.14,62.8,100.0,3.16,1.19,0.79,1,5.0,91.0,58.0,101,59,20.3,0.32,3684.0,1,Weight Training,65,10.37,126.9,143.3,539.0,3.9,13.0,21.4,17.2,9.5,Afternoon
USER_00001,2023-01-18,Wednesday,56,Female,53.9,167.2,Beginner,Weight Training,61.2,21.0,5.84,72.7,100.0,3.47,1.36,1.0,0,5.0,65.5,64.1,101,59,15.3,-0.41,5090.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-01-19,Thursday,56,Female,53.9,167.2,Beginner,Weight Training,75.3,21.0,5.74,75.2,100.0,3.46,1.15,1.13,1,5.0,82.4,64.9,101,59,19.1,0.17,5135.0,1,Weight Training,49,12.27,130.6,147.0,481.0,6.1,9.1,14.7,14.4,4.7,Morning
USER_00001,2023-01-20,Friday,56,Female,53.9,167.2,Beginner,Weight Training,73.1,5.5,4.77,81.2,100.0,2.85,1.11,0.81,1,5.0,124.7,54.4,101,59,12.6,-0.52,2890.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-01-21,Saturday,56,Female,53.9,167.2,Beginner,Weight Training,32.4,8.21,7.11,88.7,100.0,4.32,1.68,1.11,0,5.0,99.2,55.3,101,59,16.4,0.54,3184.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-01-22,Sunday,56,Female,53.9,167.2,Beginner,Weight Training,49.3,8.1,5.74,100.0,100.0,3.53,1.26,0.95,0,5.0,98.4,57.5,101,59,20.0,-0.43,3012.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-01-23,Monday,56,Female,53.9,167.2,Beginner,Weight Training,44.3,11.62,6.22,88.1,100.0,3.53,1.54,1.15,1,5.0,92.0,60.6,101,59,15.5,0.59,3442.0,1,Weight Training,51,6.19,118.7,135.1,254.0,8.4,14.9,15.6,9.0,3.4,Morning
USER_00001,2023-01-24,Tuesday,56,Female,53.9,167.2,Beginner,Weight Training,35.2,11.98,7.26,67.0,100.0,4.53,1.62,1.11,1,16.4,100.3,63.8,101,59,17.0,0.04,3308.0,1,Yoga,39,2.68,111.8,128.2,85.0,16.5,15.1,7.5,0.3,0.2,Evening
USER_00001,2023-01-25,Wednesday,56,Female,53.9,167.2,Beginner,Weight Training,100.0,20.93,6.32,65.7,100.0,3.73,1.46,1.13,0,5.0,88.0,62.4,101,59,13.1,0.39,4908.0,1,CrossFit,71,11.61,129.3,145.7,660.0,8.1,13.7,18.9,22.3,8.0,Morning
USER_00001,2023-01-26,Thursday,56,Female,53.9,167.2,Beginner,Weight Training,46.3,9.75,7.47,81.8,100.0,4.43,1.86,1.18,0,5.5,78.3,63.3,101,59,15.8,0.62,2943.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-01-27,Friday,56,Female,53.9,167.2,Beginner,Weight Training,57.5,8.75,7.21,73.1,100.0,4.04,1.78,1.39,0,5.0,84.8,53.5,101,59,17.1,0.53,3420.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-01-28,Saturday,56,Female,53.9,167.2,Beginner,Weight Training,90.7,7.19,6.09,81.8,100.0,3.62,1.39,1.08,0,5.0,111.3,56.4,101,59,17.3,0.68,2685.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-01-29,Sunday,56,Female,53.9,167.2,Beginner,Weight Training,77.4,7.56,4.62,84.4,100.0,2.69,1.02,0.9,1,6.1,87.4,53.6,101,59,18.7,0.49,3000.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-01-30,Monday,56,Female,53.9,167.2,Beginner,Weight Training,62.5,11.61,4.67,69.9,100.0,2.81,1.01,0.85,0,5.0,95.3,58.3,101,59,13.8,0.24,3691.0,1,Weight Training,63,9.42,125.0,141.4,475.0,15.2,18.7,18.7,6.8,3.6,Afternoon
USER_00001,2023-01-31,Tuesday,56,Female,53.9,167.2,Beginner,Weight Training,79.1,8.07,5.77,66.3,100.0,3.63,1.25,0.89,1,5.0,128.2,54.5,101,59,13.5,0.02,3046.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-02-01,Wednesday,56,Female,53.9,167.2,Beginner,Weight Training,67.6,13.92,7.42,72.5,100.0,4.75,1.51,1.17,0,5.5,85.6,60.6,101,59,17.3,-0.58,3556.0,1,Weight Training,61,8.71,123.6,140.0,425.0,9.3,19.6,17.8,9.7,4.6,Afternoon
USER_00001,2023-02-02,Thursday,56,Female,53.9,167.2,Beginner,Weight Training,50.3,7.02,6.06,61.4,100.0,3.54,1.39,1.14,0,24.9,100.2,54.8,101,59,13.2,0.46,3235.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-02-03,Friday,56,Female,53.9,167.2,Beginner,Weight Training,61.5,7.5,5.81,65.4,100.0,3.68,1.21,0.93,2,5.0,96.2,55.0,101,59,11.0,0.34,3002.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-02-04,Saturday,56,Female,53.9,167.2,Beginner,Weight Training,65.9,5.14,6.08,77.5,100.0,3.69,1.39,1.0,0,5.0,116.2,52.7,101,59,12.4,-0.81,2581.0,1,Weight Training,55,9.6,125.4,141.8,423.0,11.5,15.8,16.2,8.5,3.0,Morning
USER_00001,2023-02-05,Sunday,56,Female,53.9,167.2,Beginner,Weight Training,74.7,6.8,5.53,72.6,100.0,3.56,1.15,0.83,2,5.0,99.6,58.8,101,59,16.9,-0.28,3121.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-02-06,Monday,56,Female,53.9,167.2,Beginner,Weight Training,76.3,12.55,6.4,77.6,100.0,3.84,1.54,1.02,0,5.0,105.3,53.8,101,59,15.5,0.3,4025.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
USER_00001,2023-02-07,Tuesday,56,Female,53.9,167.2,Beginner,Weight Training,80.2,6.19,6.57,92.1,100.0,3.93,1.46,1.17,0,5.0,96.6,51.8,101,59,16.1,0.12,2422.0,0,Rest Day,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
